Country,Year,GDP_Billion,Population_Million,Life_Expectancy,Hospital_Beds_Per_1000
USA,2021,17320,225,53,5
Russia,2010,6187,793,82,2
India,2013,94300,712,55,7
Nigeria,2022,5618,688,53,5
Japan,2016,94300,1153,52,5
Russia,2020,9276,1017,69,7
India,2012,94300,1208,69,6
Nigeria,2021,16834,1385,85,4
Inida,2022,94300,690,69,5
China,2012,9766,1175,64,9
Nigeria,2021,8254,466,69,8
Japan,2012,2694,283,88,3
Nigeria,2013,11441,815,69,7
Brazil,2021,4750,778,64,7
USA,2018,2996,803,57,4
Japan,2014,4530,264,83,4
UK,2015,18557,1358,72,2
Japan,2019,7616,632,64,2
Japan,2017,11224,1184,81,3
Japan,2011,13520,316,58,9
Nigeria,2012,5143,375,50,9
France,2020,15893,881,80,2
Japan,2015,9274,498,53,5
Russia,2018,18430,632,61,3
Nigeria,2010,4915,1272,68,5
Japan,2011,94300,224,69,5
Russia,2014,12018,1399,80,5
Japan,2023,16585,247,51,3
Germany,2024,94300,719,74,9
Russia,2021,10295,706,52,1
Nigeria,2020,11112,632,83,2
Russia,2015,694,634,59,1
Brazil,2015,14547,165,74,4
China,2013,3635,537,69,5
Russia,2018,15065,184,80,3
India,2016,13612,796,87,4
Russia,2015,1510,36,83,6
China,2017,15549,335,69,1
France,2019,94300,938,69,3
Japan,2011,12306,953,62,9
Germany,2010,18953,1239,79,3
Nigeria,2017,5776,1349,50,7
Brazil,2013,94300,875,89,4
India,2011,6931,119,69,3
USA,2011,6999,1170,87,3
Japan,2018,7575,1300,52,2
France,2011,3423,837,56,10
Russia,2018,9044,707,59,5
Brazil,2019,13305,1054,69,6
Nigeria,2016,94300,1146,80,2
Brazil,2022,336,305,76,5
USA,2022,8167,1239,85,9
Brazil,2016,6414,970,60,3
France,2021,3855,485,67,8
USA,2022,2573,1031,71,4
UK,2019,9957,426,73,5
France,2014,3455,172,71,9
India,2010,7010,1028,76,9
India,2024,16455,797,76,9
USA,2020,94300,464,50,8
France,2018,16059,155,73,5
China,2011,2550,1372,58,2
UK,2019,11977,632,51,7
China,2022,10739,153,56,6
Nigeria,2013,94300,1314,69,10
Brazil,2016,5341,1357,67,4
USA,2015,1196,83,77,5
INDIA,2011,4685,863,60,6
Japan,2023,7312,1154,82,5
France,2024,94300,513,82,4
Japan,2016,4339,127,68,5
India,2013,94300,317,65,8
Germany,2024,16507,544,68,4
Russia,2019,18664,174,87,7
Russia,2019,10725,632,69,5
Brazil,2018,3392,922,88,6
UK,2017,14352,105,66,2
Russia,2011,12333,1314,76,2
Japan,2024,7222,775,66,9
Brazil,2019,16330,860,64,3
Indai,2014,2296,503,66,7
UK,2016,13231,107,69,3
India,2016,3304,1159,51,5
Nigeria,2020_est,3530,1232,72,3
France,2019,10148,1026,69,3
UK,2016,17746,1308,86,7
USA,2017,12670,570,80,6
UK,2020,13613,605,79,8
India,2012,3099,1167,71,9
France,2020_est,8739,536,86,3
Japan,2024,16915,682,70,4
Germany,2013,11546,462,51,3
INDIA,2014,94300,1369,88,5
UK,2015,14621,490,76,8
Russia,2024,18945,566,81,3
Nigeria,2023,19808,45,69,7
UK,2011,13823,632,69,3
Japan,2021,94300,319,62,6
Germany,2015,8460,232,56,5
Germany,2016,15194,1258,53,5
Russia,2017,2184,632,76,6
india ,2013,3427,335,50,9
Russia,2011,19498,198,59,9
Nigeria,2022,18543,593,52,1
India,2016,11564,556,51,6
Japan,2015,423,1104,69,1
UK,2012,11849,632,89,6
Russia,2010,5649,996,60,9
USA,2023,7619,774,52,5
Russia,2016,94300,1129,59,3
Japan,2018,16382,1303,53,5
India,2022,94300,1220,53,3
Brazil,2013,15098,81,69,5
China,2010,6821,558,71,2
India,2012,11525,1129,80,2
France,2020,3155,382,64,5
India,2014,13658,88,51,5
Japan,2015,14003,278,75,3
UK,2010,17744,1255,61,3
Germany,2019,8343,344,76,8
China,2015,13527,1155,65,2
France,2011,14811,511,76,3
Nigeria,2011,94300,632,56,10
UK,2016,19550,1113,76,6
Nigeria,2020,94300,412,68,7
Japan,2017,8341,604,63,6
Germany,2016,17041,290,87,7
India,2020_est,94300,783,81,1
Nigeria,2023,16403,65,85,10
UK,2014,6022,302,80,3
Japan,2013,17338,152,55,10
UK,2024,13542,1187,63,7
Russia,2010,11965,848,77,6
Japan,2020_est,94300,393,80,3
Japan,2022,13908,334,75,8
France,2023,4530,93,55,6
Nigeria,2014,17019,72,79,4
France,2018,9674,1301,63,5
Russia,2019,470,123,60,1
Nigeria,2023,12701,602,71,3
UK,2021,6059,932,88,1
Japan,2014,94300,811,69,6
UK,2024,1574,134,74,4
Germany,2020_est,18361,575,55,7
India,2014,94300,740,77,9
UK,2013,15885,950,77,10
Brazil,2010,6057,632,60,3
Brazil,2022,13304,890,73,1
Nigeria,2014,14629,459,76,6
China,2021,6986,197,53,8
France,2014,18384,913,54,5
Brazil,2022,14633,1093,54,1
Brazil,2010,94300,505,60,1
Brazil,2012,10897,1193,88,6
UK,2021,10386,128,72,4
Russia,2021,12221,550,59,2
USA,2016,94300,632,57,10
UK,2014,8993,749,84,10
Russia,2016,11737,1139,63,4
China,2018,8173,944,77,4
Japan,2020_est,2837,889,55,6
Nigeria,2024,13929,632,80,9
Nigeria,2013,10099,1025,74,3
Germany,2016,94300,405,69,7
USA,2011,94300,282,69,10
India,2021,2339,675,73,6
Russia,2010,94300,89,54,6
Germany,2011,10978,334,75,8
China,2012,1023,702,77,3
INDIA,2015,6293,862,85,8
Nigeria,2010,11745,1025,64,7
Brazil,2017,9430,274,78,6
UK,2010,7300,1276,50,4
Russia,2023,1326,1075,78,4
UK,2014,13578,560,69,5
Japan,2024,8363,1309,60,2
USA,2021,94300,1357,65,2
USA,2010,94300,713,56,7
Japan,2010,19955,637,64,5
Brazil,2013,2479,1237,66,4
Brazil,2013,94300,624,69,2
USA,2024,16311,1317,76,10
Russia,2023,3198,673,69,6
China,2019,8148,479,55,5
Japan,2014,3420,1030,58,2
UK,2018,11136,837,84,6
UK,2024,7040,1126,71,2
UK,2018,11403,1272,69,4
Nigeria,2020,94300,220,67,6
Russia,2024,94300,1316,69,6
Japan,2015,16603,121,69,7
UK,2011,94300,1099,61,9
China,2023,2662,1226,88,3
Germany,2015,10000000,66,66,6
France,2022,11696,1310,76,5
Russia,2020,16231,1331,50,10
Brazil,2024,1905,1142,69,2
UK,2017,8909,905,65,1
India,2010,12069,1264,65,3
Nigeria,2016,94300,77,82,8
India,2017,11842,500,82,6
India,2010,94300,887,81,6
Germany,2024,8399,1341,71,6
Germany,2017,4565,632,72,3
Nigeria,2020,1379,850,80,6
India,2017,4690,936,53,5
India,2015,3434,266,58,4
Germany,2012,1212,562,70,5
Brazil,2018,7779,1176,69,6
Germany,2019,1428,108,73,6
USA,2017,17585,632,88,1
UK,2022,2140,71,57,6
UK,2013,12982,73,69,9
india ,2022,6072,117,56,2
UK,2011,94300,730,69,4
Russia,2020,19792,961,88,2
China,2018,7766,781,69,1
USA,2018,13474,902,66,5
Germany,2023,8425,43,63,3
UK,2018,2148,1339,69,8
China,2021,6444,556,59,2
China,2015,3744,1118,77,6
Germany,2016,9606,1292,52,4
USA,2016,7128,1097,89,3
Nigeria,2011,17511,1164,59,5
Brazil,2017,8311,1369,57,8
France,2016,6817,632,66,6
Japan,2024,16685,1127,69,2
INDIA,2011,94300,204,66,6
Brazil,2012,8174,732,89,2
Japan,2010,13574,560,55,2
China,2020,18995,1232,86,10
USA,2018,94300,504,76,5
China,2019,8484,632,73,6
Brazil,2024,3396,665,72,6
Nigeria,2021,4360,1041,51,4
China,2014,94300,793,60,7
India,2014,94300,1116,79,6
USA,2011,94300,632,60,5
China,2015,12066,724,61,1
Russia,2022,10025,407,79,1
UK,2024,11779,1318,57,5
France,2021,2010,879,72,5
USA,2022,10523,1256,57,1
Germany,2019,17260,812,85,6
USA,2010,16241,607,80,9
Russia,2013,94300,261,60,3
Germany,2019,5087,435,72,5
Russia,2023,8644,865,53,2
India,2013,3602,730,58,4
Nigeria,2024,8126,1138,50,7
Nigeria,2014,13443,1120,87,1
UK,2018,3244,632,68,6
Brazil,2020,13327,953,87,10
China,2022,94300,409,85,1
France,2024,4775,1257,69,3
Japan,2011,94300,1204,69,7
USA,2013,4933,1063,80,4
Japan,2022,8331,632,89,7
USA,2018,18703,431,69,8
France,2018,13894,1352,65,2
China,2015,13499,1023,73,3
UK,2021,94300,443,67,7
Japan,2010,14955,332,66,3
Russia,2024,4132,1098,86,4
UK,2014,15075,1256,69,3
USA,2017,19134,533,63,2
China,2019,9826,161,59,4
UK,2017,94300,1226,62,9
Russia,2021,17173,1072,55,7
China,2018,18911,958,63,6
UK,2019,94300,719,54,4
Brazil,2015,16087,1207,55,10
China,2014,6710,930,80,8
India,2014,18925,444,84,2
Brazil,2016,94300,632,77,3
UK,2015,94300,244,69,7
Japan,2013,9614,1190,65,3
Brazil,2015,16761,772,69,7
Germany,2019,10320,850,68,8
UK,2012,94300,996,69,9
China,2017,13486,978,64,5
USA,2010,14562,166,69,5
UK,2022,1134,1346,69,7
France,2015,94300,355,87,4
UK,2016,15555,556,55,1
Japan,2013,10976,632,69,4
USA,2016,7013,733,69,9
France,2010,10209,715,69,10
Japan,2023,5149,111,76,6
India,2020,8419,596,81,3
India,2024,94300,911,69,5
India,2015,5281,1055,70,4
Japan,2023,12001,1394,67,9
China,2023,7031,86,58,5
Russia,2020,4548,10,86,9
India,2022,14897,243,54,2
France,2024,14535,1301,69,2
USA,2019,94300,494,65,7
UK,2011,14430,163,51,10
UK,2011,4808,632,57,1
Brazil,2015,7957,1125,63,5
India,2024,94300,717,84,9
India,2020_est,396,1091,68,10
China,2023,9768,1381,80,3
UK,2019,10860,1389,84,2
USA,2022,14186,490,50,5
Nigeria,2016,4848,1148,69,8
Japan,2010,211,437,59,3
India,2016,1550,270,72,4
Russia,2020,8464,533,69,9
india ,2020,9960,468,69,10
Nigeria,2020,1392,423,61,4
Russia,2016,3452,1098,54,7
Russia,2020,2652,108,86,3
UK,2013,94300,767,69,10
Russia,2010,5089,1204,56,9
Russia,2023,94300,721,80,9
USA,2012,94300,1149,85,3
India,2014,5826,411,65,5
UK,2012,10982,632,77,3
USA,2023,6344,709,81,8
China,2017,12981,632,71,2
Nigeria,2011,7671,584,51,3
China,2014,19121,1335,64,1
China,2020,3746,555,87,2
Germany,2010,15317,161,89,4
France,2012,15549,486,75,3
Russia,2010,94300,1313,69,9
Brazil,2017,12583,1133,52,4
Nigeria,2024,6411,893,64,2
Russia,2015,94300,1141,65,2
Japan,2024,4094,340,62,7
Russia,2015,12098,977,69,8
Indai,2023,4240,661,82,3
Germany,2016,2375,1238,63,7
Germany,2018,701,969,62,2
China,2020,12274,344,69,2
Japan,2024,3113,424,53,9
China,2011,319,682,54,4
China,2015,94300,234,88,3
India,2022,94300,769,85,6
Nigeria,2014,94300,281,56,9
Japan,2010,6691,527,80,4
France,2016,94300,1035,73,9
Japan,2014,1182,367,69,3
Germany,2020_est,14929,1287,67,4
Nigeria,2013,94300,628,69,4
Russia,2015,18209,800,69,8
France,2022,6968,612,83,4
France,2024,15919,1317,74,8
UK,2022,16140,1184,65,1
Japan,2010,8157,946,68,8
Japan,2011,7268,632,57,8
Russia,2018,11004,293,61,8
Russia,2010,9755,310,88,7
Russia,2017,19151,603,69,9
Brazil,2011,10595,993,60,5
Germany,2015,2644,632,50,1
India,2014,19550,346,76,9
UK,2010,11103,632,79,6
Germany,2013,94300,1079,89,6
France,2012,6964,911,52,9
China,2012,2563,465,82,6
France,2020,7993,668,84,4
France,2011,17419,132,81,9
China,2014,3799,608,69,7
China,2016,10799,893,57,3
China,2016,94300,457,72,9
Russia,2019,13405,615,88,7
Japan,2013,18617,743,60,1
Russia,2021,14576,178,62,6
France,2020_est,11375,844,56,4
USA,2021,12420,1358,79,9
Germany,2011,15291,832,57,7
Germany,2011,12542,847,69,6
Japan,2017,6821,731,57,8
Germany,2020_est,3878,128,67,7
India,2013,8866,394,72,4
Japan,2018,18670,1292,70,4
Nigeria,2012,14795,61,69,4
China,2021,94300,632,72,8
France,2018,9803,128,88,6
China,2024,12360,338,69,5
USA,2010,1682,157,83,3
USA,2017,4060,711,80,2
Russia,2016,11620,175,51,1
Nigeria,2012,16716,173,51,5
Inida,2014,16911,374,66,1
USA,2022,9091,812,72,4
China,2020,6447,158,64,2
India,2011,15378,1353,88,9
France,2013,12095,984,61,7
Nigeria,2024,94300,680,80,4
UK,2022,6497,1295,52,5
UK,2020_est,18273,858,71,3
Inida,2015,6996,1194,72,6
China,2017,2171,32,88,4
Japan,2012,12143,120,77,9
USA,2013,11598,185,73,8
Brazil,2017,8247,1232,75,9
Russia,2023,12545,192,62,3
USA,2022,18194,1066,77,4
USA,2024,3844,1061,69,3
Nigeria,2023,12409,66,63,5
Japan,2012,3129,1378,58,2
Russia,2017,94300,1078,67,6
Nigeria,2021,94300,57,67,8
USA,2022,17727,130,71,9
France,2011,7881,1163,69,9
Germany,2018,15078,1318,69,4
Germany,2022,18775,393,63,7
Brazil,2021,15353,1301,58,8
India,2017,14823,98,69,4
Nigeria,2024,6228,1376,75,7
Brazil,2015,19537,534,82,5
China,2012,17416,261,87,3
France,2022,6659,1061,65,6
Nigeria,2018,9002,1041,59,2
Brazil,2021,6138,669,56,4
India,2022,8119,89,69,9
Nigeria,2014,3204,840,76,5
UK,2020,14081,580,70,1
Nigeria,2017,13896,929,51,4
India,2022,19584,594,70,9
Brazil,2015,14401,819,81,5
France,2015,94300,670,65,10
Japan,2024,14003,125,84,5
India,2021,94300,774,66,9
Germany,2024,4239,1158,72,1
Brazil,2010,94300,722,61,5
Indai,2021,17185,433,57,2
Germany,2024,6097,1094,68,3
China,2019,3490,472,87,4
Nigeria,2023,19764,684,57,9
Nigeria,2012,9315,996,89,1
USA,2012,2114,1011,69,3
Russia,2024,979,40,81,2
INDIA,2019,94300,852,67,1
India,2015,15713,24,80,9
Japan,2018,94300,754,69,5
USA,2023,17771,1252,63,7
Germany,2019,18552,1347,69,5
Brazil,2023,5718,1342,69,6
UK,2021,5794,397,66,10
USA,2019,1288,814,69,2
China,2023,8903,719,60,4
Japan,2023,1921,431,88,10
India,2015,6830,803,86,1
Russia,2024,16251,1328,53,2
India,2016,19222,757,50,3
France,2012,9108,973,79,10
China,2019,5892,758,71,5
UK,2012,3549,1368,84,5
China,2016,12144,325,71,7
UK,2017,10400,1386,74,4
Brazil,2012,15488,246,65,4
USA,2024,8749,1096,69,8
Nigeria,2020,11614,485,82,3
India,2014,4642,711,60,1
India,2010,13036,720,67,10
Russia,2014,11509,1210,55,6
USA,2023,17386,820,69,4
UK,2023,2030,646,65,9
Nigeria,2024,94300,1353,88,3
Russia,2015,7091,1254,88,5
Brazil,2023,6555,741,77,3
UK,2016,14782,81,52,4
France,2017,94300,448,69,4
China,2015,94300,440,89,5
UK,2017,94300,811,89,3
Nigeria,2019,94300,1005,74,2
UK,2016,13602,99,73,8
Brazil,2020_est,4377,1179,51,9
India,2018,9314,312,55,10
Inida,2023,1638,286,63,7
Russia,2020,10987,184,61,3
USA,2015,4428,581,78,3
France,2017,7460,553,69,10
Russia,2019,16042,345,52,4
Brazil,2014,94300,713,81,9
China,2014,16928,509,77,4
Japan,2014,1405,985,50,5
France,2022,94300,973,80,4
Germany,2024,94300,418,67,8
Germany,2020_est,13919,1382,59,7
Germany,2012,94300,1281,56,8
Nigeria,2020,11451,391,69,4
Germany,2016,94300,1245,69,7
France,2016,10471,81,59,5
France,2013,6342,262,70,4
UK,2010,5310,654,55,9
Nigeria,2018,17380,993,54,8
Russia,2014,16197,1077,54,7
Germany,2020,16719,812,69,5
Germany,2020,10668,57,75,2
China,2013,94300,416,71,2
Nigeria,2021,94300,1115,56,2
France,2014,3081,1229,71,5
Nigeria,2014,2312,912,84,8
INDIA,2016,12595,114,54,1
Japan,2024,5298,198,60,4
Nigeria,2024,18871,858,83,7
USA,2023,2427,1032,61,7
Japan,2023,6951,1396,60,4
Japan,2012,94300,44,77,8
France,2019,16760,1364,89,2
Russia,2015,16472,908,69,2
France,2015,13073,1375,86,5
USA,2010,990,632,83,7
INDIA,2012,9295,86,67,5
India,2018,18585,901,62,6
USA,2013,94300,1361,69,5
UK,2024,94300,958,76,7
India,2019,5509,448,55,7
Nigeria,2015,987,840,84,9
UK,2014,9090,648,53,7
France,2021,16460,350,66,9
France,2022,17566,348,72,3
Germany,2017,2217,1276,82,8
France,2015,1165,1182,67,4
USA,2019,11020,136,80,6
Russia,2022,94300,271,69,2
Germany,2019,11838,1178,69,1
india ,2021,11540,1149,63,4
Inida,2010,12007,391,51,8
Germany,2016,12587,817,79,7
Germany,2011,4276,499,55,2
France,2014,13588,1203,88,7
India,2024,94300,156,82,6
USA,2019,12442,1096,78,9
India,2017,1313,1049,84,4
Nigeria,2024,12880,446,88,1
Japan,2017,11679,241,78,3
Germany,2012,4860,697,86,3
Japan,2014,3055,1064,70,9
India,2020,3102,907,59,2
Nigeria,2010,13731,835,80,4
India,2013,9069,573,89,4
Nigeria,2012,6037,502,72,3
France,2011,94300,379,69,2
India,2011,13199,1270,56,10
Germany,2017,9167,1324,77,4
Nigeria,2018,3928,432,53,2
UK,2024,2272,597,69,2
Russia,2016,2780,632,57,2
France,2022,3503,1293,69,4
Nigeria,2021,94300,756,77,7
France,2012,12648,379,51,5
Japan,2024,17841,801,83,10
Japan,2012,3439,971,77,10
Nigeria,2013,94300,964,59,8
USA,2024,2319,1095,86,4
UK,2022,12686,607,69,4
Japan,2019,15290,1311,87,3
USA,2023,10000000,1035,60,2
UK,2010,5506,1277,75,7
india ,2018,5291,1009,51,4
India,2017,12609,213,82,3
China,2020,13115,573,73,2
USA,2015,534,1274,69,8
China,2022,19987,303,60,7
Brazil,2021,19315,632,70,8
India,2023,2887,1368,88,2
France,2020,94300,149,60,8
Germany,2010,7690,132,63,10
China,2012,12667,588,56,10
France,2022,16452,401,52,2
Japan,2015,2583,817,87,5
Indai,2013,16890,629,78,8
Inida,2017,3644,512,75,2
UK,2015,7358,753,69,5
India,2019,16357,632,81,6
USA,2010,17754,581,69,7
China,2013,8464,210,53,1
Germany,2023,17495,338,58,8
Germany,2017,6536,713,56,10
Russia,2021,17061,1210,66,8
Germany,2021,3048,21,50,6
India,2018,9216,730,69,5
Nigeria,2014,14417,632,79,3
Germany,2010,94300,827,58,3
Germany,2012,94300,1163,66,3
Brazil,2015,17366,940,67,5
Nigeria,2019,94300,881,69,10
India,2022,9707,685,72,9
India,2017,16056,637,69,6
Germany,2012,9948,277,69,3
India,2013,18313,476,88,6
France,2021,94300,764,55,4
USA,2014,2163,875,67,8
China,2011,4565,238,66,9
Nigeria,2024,14266,592,70,2
Japan,2011,94300,936,61,6
Indai,2012,2367,1352,57,7
Nigeria,2023,94300,1007,81,7
UK,2010,12367,1250,53,4
Russia,2018,5116,1383,65,8
Nigeria,2021,94300,304,59,4
France,2014,8340,335,50,9
India,2015,19319,484,63,1
UK,2024,13668,1157,55,2
Japan,2010,15843,866,51,7
Germany,2016,6316,522,80,8
Japan,2017,8127,1326,66,8
France,2016,94300,1257,86,5
Japan,2018,18742,1157,81,3
India,2021,16141,1191,61,10
USA,2024,1187,218,71,6
Germany,2016,12973,33,88,1
Brazil,2016,3032,29,72,9
Germany,2024,13385,1153,69,6
India,2020,9299,703,52,7
Nigeria,2016,10163,1073,69,2
China,2012,7615,1331,79,6
China,2024,3289,226,52,9
USA,2014,94300,994,50,10
Japan,2022,16682,305,57,3
France,2016,94300,632,69,4
China,2014,12314,203,61,4
India,2022,9230,1101,58,6
India,2011,11929,74,74,3
USA,2015,1488,632,88,8
Japan,2017,94300,145,77,5
Brazil,2019,2616,698,51,9
Russia,2014,94300,930,62,6
Japan,2021,11024,632,88,8
Brazil,2014,18802,1253,73,9
Nigeria,2015,1952,282,51,4
USA,2023,7895,387,83,4
China,2015,5762,764,55,8
Brazil,2016,1676,1381,80,3
Japan,2012,309,1143,78,8
Brazil,2014,94300,112,64,2
China,2013,17289,876,63,2
UK,2018,6357,462,79,7
Russia,2018,17766,666,54,7
China,2010,15263,790,80,5
Russia,2011,10550,604,51,2
Russia,2022,822,894,62,6
France,2016,18169,356,66,8
UK,2018,4730,117,61,2
Germany,2018,94300,1133,75,9
UK,2016,16112,269,85,6
Russia,2024,16187,1255,62,2
Russia,2013,4713,603,82,9
France,2015,337,719,66,3
Russia,2021,94300,479,87,4
France,2016,10472,987,64,10
China,2011,19256,359,69,4
China,2015,5839,61,74,6
India,2017,1219,397,86,3
Nigeria,2022,10000000,690,69,3
India,2021,13508,1068,59,8
China,2010,7482,888,75,6
France,2012,1987,1171,62,3
UK,2021,1007,831,77,1
Japan,2021,10339,324,75,3
China,2017,13880,547,87,2
Japan,2024,94300,167,87,9
Russia,2012,5307,927,69,6
Germany,2020,10687,346,53,9
USA,2019,18028,890,63,4
USA,2015,14573,632,85,8
